review,taste,quantity,delivery,total
맛있게 잘먹었습니다,5,5,5,5
고치돈~ 김치가 맵지 않고 아삭해서 개인적으로 제 취향이었습니다 맛있어요,5,5,5,5
역시 김천은 최고입니다 ㅋㅋ,5,5,5,5
"흠, 이 근처 쫄면집에선 김천공릉점이 제일맛있어요~ 계란말이 김밥은 짠맛이 좀 심하구용 요청사항에 장국도 꼭 같이 보내달라했는데 장국을안보내주셨어용.....",5,5,5,5
맛있게 먹었습니다 ㅎㅎ,4,5,4,4
맛있게 잘 먹었습니다,5,5,5,5
맛 양 모두 만족해요 너무맛나요🤤,5,5,5,5
배달 빠르고 좋아요,5,5,5,5
서비스 좋고 밋도 좋아요 강추,5,5,5,5
김천은 공릉점이 제일 맛있어요,5,5,5,5
예상보다 20분이나 빨리도착했어요. 그래서 라면도 불지 않고 잘 도착했네요~,5,5,5,5
항상 맛있어요 내일 또 먹을꺼에염,5,5,5,5
맛있게 잘 먹었습니다~^^ 낙지덮밥 완전 맛있어요~,5,5,5,5
잘먹었어요~ 퇴근중에 배달만 되면 바로바로 시켜먹는ㅋ #식후감,5,5,5,5
맛나게 잘 먹었습니다,5,5,5,5
맛있게 잘 먹었어요~,5,5,5,5
맛있게 잘 먹었어요.,5,5,5,5
학생들 먹기에 딱 좋은 영양만점 메뉴 최고입니다! 자주 주문할게요,5,5,5,5
일주일에 2번은 꼬박시켜먹는것같아요 또먹을께요,5,5,5,5
ㅇ.ㅁ....잘먹었습니다.,2,3,3,2
가격대비 맛있고 좋아요 김밥천국의 김치알밥 언제 주문하든 최고예요,5,5,5,5
맛나게 잘 먹었습니다,5,5,5,5
처음 시켜봤어요. 맛도 좋고 인심도 후해서 오늘부터 단골 1일이요. ^^,5,5,5,5
가까워서 우동도 뷸지않고 맛있어요,5,5,5,5
맛있어요 다음에도 주문할게요,5,5,5,5
"김치봈음밥, 김밥 맛있습니다",5,5,5,5
