review,taste,quantity,delivery,total
솔직히 가격대 비해 양도 적고 맛이라곤 하나도 없어요 출출해서 시켰는데 떡볶이는 싱겁고 저게 빵인지 떡인지 뭔지 모르겠음 퍽퍽해서 먹다 버렸음,1,2,5,2
맛나게 잘 먹었어요~! 다만 으깬 감자에 스웨터먼지? 같은게 같이 있어서 그냥 빼서 먹긴 했는데 담부터 신경 써주세용 ^^ 이미지랑은 다르지만(?) 식빵말고 긴빵 처럼 오는 줄 알았어용 ㅎㅎ 무튼 담에 또 주문 할게요! 서비스로 주신 건 잘 먹었어용 넘 맛낫어요~!,5,5,5,5
나 웬만하면 별 5개 주는 사람인데…ㅜㅜ 키토김밥 파는데서 리뷰 좋고 주문수 많은 몇군데에서 먹어봤는데 이렇게 비싸고 양 적은곳은 처음봅니다. 사진상에는 적양배추 초록상추 있던데 없고 그리고 밥이 더 많고 크래미 치즈김밥은 아무리 뒤져도 치즈가 없고 김은 넘 질겨서 씹기도 힘들고 생야채는 숨이 다 죽어서 아삭거리는 식감전혀 없어 먹다 보면 느글거리고 최악은 크래미양파치아바타 가격이 9000원이 넘는데…퀄리티가…. 내가 이 돈주고 왜 이걸먹고 있나~~ 하는 생각!!!,4,3,5,4
"크림치즈볼 : 쫄깃하지는 않은데 달고 촉촉해서 맛있었어요 초코 : 밀가루가 안 들어가서 그런지, 배달 중간에 수분이 날아가서 그런지 식감이 팍퍽한 백설기 먹는 느낌이어서 좀 아쉬웠어요 베이컨 갈릭 샌드위치 : 꽤 맛있었어요! 갈릭향이 좋았어요 서비스 : 레몬 크림 케익(?) 그런 걸 서비스로 주셨는데 이것도 맛있었어요 따로 시켜먹고 싶었어요 초코가 좀 아쉬웠는데 나머지 다 맛있었어요. 좀 따뜻하게 주문이 왔다면 좀 더 맛있었을 거 같은데, 다음에 주문할 때 꼭 따뜻하게 왔으면 좋겠네요😊",5,5,5,5
맛있어용 배달도 빠르궁 늘 감사합니당,5,5,5,5
맛있어요 서비스도 감사드려요,5,5,5,5
맛있게 잘먹었습니다,5,5,5,5
맛있게 잘먹었습니다,5,5,5,5
잘 먹었습니다 ㅎㅎ,5,5,5,5
피자 맛있어요!!!!,5,5,5,5
진짜 맛있네요 또 시켜 먹을게오❤️,5,5,5,5
맛있어요.~~~!!!👍,5,5,5,5
치즈양많고 맛있습니다 체다치즈 고소하니 맛있네요,5,5,5,5
맛있게 잘먹었습니다 ^^,5,5,5,5
배달 빠르고 맛있어요,5,5,5,5
배달도 빠르고 맛도 좋아서 잘 먹었습니다,5,5,5,5
맛도 짱짱 양도 짱짱,5,5,5,5
너무맛있었어요 배달도 빠르고 양도 많이주시고 너무 감사합니다 항상 번창 하시길 바랄께요~~~~,5,5,5,5
감사합니다 맛잇어요,5,5,5,5
감사합니다 맛잇어요,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
짜장면 너무 맛있어요 자주 시켜먹을게요!!!,5,5,5,5
가성비 진짜 좋고 맛있어요 :),5,5,5,5
빨리 와서 맛있게 잘먹었습니다,5,5,5,5
굿굿 울면 굿 입니다 울면 드세용,5,5,5,5
배달 빠르고 맛있어요,5,5,5,5
맛은 양파 많은 특밥 양은 곱배기 치고는 보통 일반양 배달 개 빠름 특별히 맛 있지는 안아요,3,1,5,3
"이사와서 처음시켰는데, 맛있고 배달이 정말 빠르네요^^ 잘 먹었습니다 .",5,5,5,5
잘 먹었습니다. 서비스 고맙습니다.,5,5,5,5
배달 빠르고 맛있어요,5,5,5,5
삼선짜장 맛있게 먹었습니다!,5,5,5,5
양은 정말 많았는데 간장이 터져서왔구... 탕수육에 너무 튀김옷이많았어요...,4,5,3,4
양도 많은 편이고 생각보다 더 맛났어요,5,5,5,5
맛도 좋고 서비스도 좋고 다 좋아용 🥰,5,5,5,5
배달도 엄청 빠르게 와주시고 곱배기하니까 혼자 먹기에도 엄청 많아요!! 여기에서만 시켜먹을거 같아요!! 고민하고 계시면 당장 시키세요….,5,5,5,5
적당히 잘먹었습니다,4,4,4,4
맛있어용 근데 탕수육이 좀 달았어요..,5,5,5,5
배달빠르고 양 많고 맛나요 소스 따로주시는게 찍먹하기 좋네요,5,5,5,5
요청사항도 잘들어주시고.항상 콜라 감사합니자><❤️❤️❤️,5,5,5,5
맛있게먹었습니다 ㅎㅎ,5,5,5,5
맛있게잘먹었습니다. 펩시도 엄청큰거 주시네요 ㅎㅎㅎㅎ,5,5,5,5
양이 많고 맛있어요,5,5,5,5
잘먹엇습니다 불짜장 매워요오오,5,5,5,5
너무너무 마싯게 잘먹었어요^^,5,5,5,5
탕수육이 눅눅해서 아쉬운거 빼고는 다 좋아요,5,5,5,5
음식은 최고의 맛,5,5,1,3
맛은 최고! 배달 요청사항은 쫌..,5,5,5,5
야식으로 늦은 시간 주문했는데 잘 먹었어요,5,5,5,5
맛나게 잘먹엇어용-!-!!,5,5,5,5
배달이 진짜 빠르네요 맛있게잘먹었습니다,5,4,5,4
진짜 가성비 좋네요!!! 곱빼기로 시켰는데 2인분수준으로 많아요 굿굿,5,5,5,5
맛있게 잘 먹었습니다!,5,5,5,5
배달도 빠르고 맛있어요,5,5,5,5
늦은시간에도빠르고요청사항확인도잘해주시고감사히잘먹었습니다.,5,5,5,5
"배달비 생기면서 중화요리 양이 가격대비 적어진 느낌은 있지만, 맛은 있어요. 만두도 너무 흔하지 않은 스타일이고, 탕수육 소스 많이 안달아서 좋네요. 양장피도 충실해요. 겨자 소스는 조금씩 간 보면서 넣어 드시길.",5,4,5,4
맛있어요 양도많고 배달도너무빨라서좋아요,5,5,5,5
맛도 서비스도 최고입니다 감사합니다,5,5,5,5
맛있어용~ 탕슉은 쏘쏘,5,5,5,5
빠른시간 내에 배달와서 맛있게 잘 먹었습니다~,5,5,5,5
배달 빠르고 양 충분합니다 탕수육이 좀 단단한편?,4,5,5,4
맛있게 잘먹었습니다!,5,5,5,5
깨끗하고 맛있고 배달 빠르고 👍👍,5,5,5,5
밥이먹다 돈까스 짜다 짱자면적다,5,5,5,5
배달빠르고 맛있어요,5,5,5,5
양이 두명이 먹어도 충분할거 같네요,5,5,5,5
맛있게 먹었습니다 :),5,5,5,5
새벽시간에배달개빨라요,5,5,5,5
잘 먹었습니다~~ 자주 먹는데 항상 맛있어욤,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
맛있게 먹었습니다,5,5,5,5
생각보다 빠르고 좋았습니다,5,5,5,5
배달 빨라서 좋아용,5,5,5,5
굿! 금용각 최고!,5,5,5,5
와우 ㅎㅎㅎ 제인생 배달20년동안 이런 귀요미콜라 서비스는첨받아봐요 음식도맛있고 배달도금방오구 게다가서비스콜라까지 ㅜㅜ,5,5,5,5
짬뽕이 맛있어요. 근데 간짜장으로 시켰는데 간짜장이 아니네요,5,5,5,5
중국집은 여기만 시켜먹어요,5,5,5,5
잘먹었습니다 ㆍ,5,5,5,5
맛있게 잘 먹었습니다~~~,5,5,5,5
항상 시켜먹는 집이에요 맛있어요,5,5,5,5
