review,taste,quantity,delivery,total
감사합니다 잘받았습니다,5,5,5,5
피자집 스파게티 맛있기힘든데 맛있었습니다 피자도 맛있었구요,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
재료가 신선하고 맛있어요!,4,4,5,4
주문 예상시간보다 배달 20분 늦은거 빼고는 괜찮았어요.,5,5,2,4
늘맛잇게먹고잇습니다~,5,5,5,5
진짜 항상 피자 너무 맛있음 근데 마약옥수슈는 이름을 콘치즈로 바꿔야 하지않을까 시픔...,5,5,5,5
이 동네 최애 피자집은 결코 실망시키지 않습니다.,5,5,5,5
맛있게 잘 먹었습니다! 치즈가 많아서 더 맛있네요~,5,5,5,5
리뷰를 쓰면 스파게티가 하나 더?!? 이건 시키고 생각합시다.,5,5,5,5
항상 만족합니다,5,5,5,5
포장이 깔끔하고 양이 푸짐해요~ 잘 먹었습니다.^^*,5,5,5,5
두껍고 토핑도 실허네요 맛도 있고..!,5,5,5,5
진짜 마싯어요 매운거 좋아하는데 핫치킨 쉬림프 좋았어요!!,5,5,5,5
배달 도 빠르고 맛있게 잘 먹었습니다,5,5,5,5
최고의 맛이죠!ㅋㅋ,5,5,5,5
맛있게먹었어요~~!!,5,5,5,5
배달도 빨리오고 맛도 좋고 서비스 크러스트까지 완전 감동받았어요,5,5,5,5
그 핫치킨인가 맵찔이로써 생각보다 많이 매움 콘치즈가 의외로 너무 맛있었음 다 맛있었음,5,5,5,5
맛잇습니다람쥐썬더람쥐,5,5,5,5
피자가 항상 따뜻하게와서 좋습니다. 피자도 맛있고 끝 흑미도우에 딸기쨈도 별미네여. 스파게티도 맛있게 잘먹었습니다.,5,5,5,5
고구마골드크러스트 서비스까지 최고예요,5,5,5,5
맛있어요~ 배달도 빠르고 여러가지 맛을 볼수 있어 좋았어요 담엔 다른맛이 기대되요!,5,5,5,5
원래 고시래를 꼭하는데 너무맛있어서 다먹어버렸습니다,5,5,5,5
너무 맛있게 먹었습니다.... 주신 소스는 첨 맛보는건데...냄새가 저랑 안맞아서 안먹으려다가... 그래도 뭔가 조화가 맞으니 먹으라 보내주신거겠지 하며... 맛을 봤는데... 약간 매우면서 계속 땡기더라고여.... 결국 피자에 발라서 다 먹었어요... ㅋㅋㅋ 근데 향을 다른 냄새로 바꿔주실수 없는거죠... ?!,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
맛있게 잘 먹었습니다.,5,5,5,5
맛있게 잘 먹었습니다~~~,5,5,5,5
배달도 빠르고 너무 맛있어요!,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
자주 먹게 되네요 맛있어요,5,5,5,5
맛있어요~~~~~~,5,5,5,5
맛있게 잘 먹었습니다~~~,5,5,5,5
핵핵 존맛탱 진짜 피자집중 제일 맛있음,5,5,5,5
배달도 빠르고 소스도 다른데보다 많이주시네요ㅎ 잘먹었습니다 좋은하루되세요!,5,5,5,5
토핑 재료가 푸짐하게 들어간 것 같아요 맛있게 잘 먹었습니다~~!!!~!,5,5,5,5
피자먹을때 매번시켜먹습니다 맛잇고 배달도 빨라서 좋아요,5,5,5,5
태릉갈비와 슈퍼메카 둘다 너무 맛났어요ㅎㅎ 치즈크러스트도 아주 좋아요,5,5,5,5
맛있어요......,5,5,5,5
음식 잘 받았습니다.,5,5,5,5
치즈도 많고 완전 맛있어요!!!,5,5,5,5
배달 빠르고 너무 마싯어용~~ 같이 온 스테이크소스?? 가 진짜 사기급으로 맛있네요,5,5,5,5
감자가 한개씩.....,4,4,4,4
간만에 피자 먹엇는데 매우 만족합니다 정신차리고 보니 다먹엇네요 ㅠㅠ 다음에는 피자사진 올릴게용,5,5,5,5
잘 먹었습니다. . .,5,5,5,5
푸짐한 맛~~ 맛있게 먹었습니다!!,4,5,5,4
배달도 빠르고 맛있게 먹었습니다.,5,5,5,5
금방 배달와서 따뜻하게 먹을 수 있었습니다. 피자도 맛있었습니다! 조금 아쉬운게 있었으나 대체적으로 만족 합니다.,5,5,5,5
맛있습니다람쥐썬더샵,5,5,5,5
빠르게 배달와서 맛있게 잘먹었습니다~,5,5,5,5
맛있게 잘먹었습니다 :),5,5,5,5
맛있게 잘 먹었습니다!,5,5,5,5
너무 행복한 맛이에요 오늘도 잘먹었습니다,5,5,5,5
두번째 이 피자집에서 주문햇눈데 진짜 맛있었고 새우가 주목만해요 ㅋㅋㅋㅋ 엄청 커요~ 불고기도 많고 다양한 채료 양이 보통보다 좀 더 많은 편이고 매콘하고 저렴한 편이에요~~ 맛잇게 만드시고 배달 보내주셔서 감사하고 배달하신 분도 감사합니다~,5,5,5,5
배달 1시간 50분 기다렸네요..ㅠ치즈가 다 굳어서 와서 한번 다시 데워먹어야 했어요,4,5,1,3
맥주 안주로 피자를 먹고싶어 주문했는데 서비스로 주신 스파게티에 맥주도 맛있네여. 잘 먹었습니다.,5,5,5,5
맛있어요 피자도 맛있고 스파게티도 맛있어요,5,5,5,5
맛있게 잘먹었습니다~:),5,5,5,5
개존맛 국밥집에서 깍두기로 평가하듯 피자집은 오븐스파게티로 평가해야합니다. 피자광인 동생이 졸라서 반만년만에 지갑 열었는데 만족하신답니다.,5,5,5,5
맛있게 장 먹었습니다,5,5,5,5
버섯 빼달라고 주문드렸는데 팔당오징어피자에 버섯이 들어있었어요ㅠㅜ 그래도 맛있어서 추천!,5,5,5,5
넘 맛있어서 찍을 세가 없어요..,5,5,5,5
미트피자 고기맛 많이나고 좋아요 애들도 엄청 잘먹어요,5,5,5,5
2번째 주문 리뷰. 역시나 맛있네요ㅎ 씬도우도 시켜보았는데 여동생이 좋아하더라구요! 하지만 저는 역시 식감있는 도우가 좋네요ㅎ 잘 먹었습니다!,5,5,5,5
맛있게 잘먹었습니다~~~,5,5,5,5
오랸만에 피자를 시켰어요. 엄청 빠르고 엄청 맛있었어요~~,5,5,5,5
처음 시켰는데 치즈가 씹히는 맛이 있고 맛있게 먹었어서 다음에 재주문하려고요!,5,5,5,5
최고최고 맛있어요😀😀,5,5,5,5
완전 맛잇었어용 근데 뭔가 토핑이..! 주문한대러 안 온 기분이었긴햇습미다,5,5,5,5
너무너무 맛있어용ㅇㅇㅇㅇ,5,5,5,5
맛있게 먹었습니다,5,5,5,5
맛잇게 잘먹었어요,5,5,5,5
배달도빨리오고 피자도 맛있어요^^ 느끼하지도 않아서 순식간에 호다닥했어요~ 다음에도재주문할게요~,5,5,5,5
기름지지않고 담백한 피자 맛있게 먹었습니다. 포장도 고급지네요 ㅎㅎ,5,5,5,5
늦은시간에도 배달을 해서 좋아요,5,5,5,5
맛있게 잘먹었어요!!,5,5,5,5
맛있게 잘먹었어요^%,5,5,5,5
잘먹었습니다!!!!,5,5,5,5
팔당오징어 피자는 피자메카만의 시그니처! 울딸이 왕따봉엄지척하는 유일한 피자!,5,5,5,5
핫치킨 맛있네요 ㅎ 잘먹었습니다,5,5,5,5
너무좄아요 배달 완전빨라요,5,5,5,5
너무 맛있었어요 배달도 빠르고 잘먹었습니다!,5,5,5,5
네종류된건 처음시켜봤는데 맛있네요ㅎ,5,5,5,5
포장도 잘해주시고 맛도 최고입니다 부자되세요,5,5,5,5
늦은 밤에 피자 먹고 싶어서 시켰는데 정말 맛있었습니다~~ 배달도 빨라서 따뜻하게 먹을 수 있었어요!,5,5,5,5
맛있게 잘 먹었습니다,4,4,4,4
한달여만에 먹는거같은데 항상 맛있어요ㅎㅎ,5,5,5,5
기름지지 않고 맛이 깔끔해서 좋았어요~ 배달도 빨라서 따뜻한 상태에서 맛있게 잘 먹었습니다!,4,5,5,4
정말 맛있어요.~~~^^,5,5,5,5
너무 맛있습니다!!!,5,5,5,5
페퍼로니는 처음 먹어봤는데 페퍼로니가 젤 맛있는것같아요! 짱짱❤️❤️,5,4,5,4
맛있었어요 한판은 부족한 느낌입니다,5,5,5,5
언제먹어도 최고에요,5,5,5,5
아주 맛있네요 좋습니다,5,5,5,5
진짜 맛있어서 항상 흡입합니다.,5,5,5,5
매번 맛있게 먹고있어요,5,5,5,5
빨리오고맛도좋고요 최고에요,5,5,5,5
두가지 피자가 꿀조합이네요. 둘 다 맛있어요.,5,5,5,5
다양하게 먹어볼수 있어 좋네요,5,5,5,5
콘치즈 피자가 참 맛나요!,5,5,5,5
포토리뷰를 남겨야하는데...ㅠㅠㅠ 또 오자마자 허겁지겁먹느라고 사진찍는걸 깜빡했다.. 그만큼 맛있어보여서 사진이고 뭐고 그냥 빨리 먹고싶단생각밖에 안들정도였어요ㅠ 여기 단골인데ㅠ평소에도 여기 시키면 처음엔 정신없이 먹다가 배좀차면 그때생각나서 사진찍구..ㅋㅋ 담에 꼭 포토리뷰남길게요ㅠ,5,5,5,5
